Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Rec_Receiving,Prog_Receiving,Mis_Dribbles,Dis_Dribbles,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_Medium,Att_Medium,Cmp_Long,Att_Long,Ast,xA,KP,Final_Third,PPA,CrsPA,Prog,xAG,A_minus_xAG,Gls_Standard,Sh_Standard,SoT_Standard,Sh_per_90_Standard,SoT_per_90_Standard,PK_Standard,PKatt_Standard,FK_Standard,xG_Expected,npxG_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs,Att_Vs,Past_Vs,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,Drib_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,Drib_GCA,Sh_GCA,Fld_GCA,Def_GCA,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xAG_Expected,npxG+xAG_Expected,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per
2023,Liverpool,Premier League,Luis Díaz,COL,"FW,MF",25-285,1997.0,6.8,331.0,3.0,23.0,147.0,165.0,42.0,331.0,14.0,29.0,280.0,50.0,14.0,24.0,203.0,256.0,3051.0,597.0,124.0,150.0,63.0,75.0,12.0,14.0,2,0.8,6.0,18.0,5.0,1.0,15.0,1.0,1.0,3,16.0,7.0,2.35,1.03,0.0,0.0,0.0,1.7,1.7,1.3,1.3,10.0,8.0,2.0,7.0,1.0,3.0,6.0,3.0,6.0,0.0,6.0,2.0,12.0,0.0,0.0,20.0,2.94,13.0,0.0,4.0,1.0,2.0,0.0,4.0,0.59,2.0,0.0,2.0,0.0,0.0,0.0,8,7,613,6.8,3,3.0,0.0,0.0,2,0,0.44,0.29,0.73,0.44,0.73,1.0,2.7,0.26,0.15,0.4,0.26,0.4
2023,Getafe,La Liga,Luis Milla,ESP,MF,28-018,1994.0,4.2,199.0,7.0,53.0,131.0,18.0,0.0,199.0,2.0,2.0,116.0,1.0,3.0,2.0,145.0,171.0,2361.0,799.0,72.0,76.0,49.0,56.0,14.0,23.0,0,0.2,6.0,20.0,0.0,0.0,16.0,0.3,-0.3,0,2.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,9.0,4.0,0.0,7.0,10.0,3.0,2.0,0.0,2.0,6.0,19.0,4.0,0.0,10.0,2.37,5.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,470,5.2,0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.01,0.06,0.07,0.01,0.07
2023,Leeds United,Premier League,Luis Sinisterra,COL,MF,23-130,1999.0,5.0,257.0,2.0,23.0,127.0,110.0,13.0,257.0,11.0,25.0,188.0,32.0,8.0,9.0,162.0,195.0,2298.0,597.0,82.0,95.0,53.0,59.0,8.0,10.0,0,0.4,4.0,11.0,8.0,1.0,21.0,0.2,-0.2,2,10.0,3.0,1.99,0.6,0.0,0.0,0.0,1.5,1.5,0.5,0.5,11.0,8.0,2.0,7.0,2.0,6.0,10.0,4.0,4.0,0.0,4.0,6.0,17.0,1.0,0.0,22.0,4.37,17.0,0.0,1.0,1.0,2.0,1.0,2.0,0.4,0.0,0.0,1.0,0.0,0.0,1.0,9,6,453,5.0,2,2.0,0.0,0.0,3,1,0.4,0.0,0.4,0.4,0.4,0.2,1.7,0.29,0.04,0.34,0.29,0.34
2023,Betis,La Liga,Luiz Henrique,BRA,MF,21-296,2001.0,6.2,257.0,2.0,38.0,101.0,120.0,19.0,257.0,10.0,26.0,173.0,22.0,14.0,16.0,122.0,160.0,1679.0,284.0,78.0,94.0,35.0,43.0,4.0,7.0,1,0.6,5.0,4.0,3.0,2.0,4.0,0.9,0.1,0,12.0,4.0,1.93,0.64,0.0,0.0,0.0,1.2,1.2,-1.2,-1.2,21.0,15.0,9.0,9.0,3.0,8.0,17.0,9.0,7.0,0.0,7.0,4.0,25.0,4.0,0.0,12.0,1.93,8.0,0.0,1.0,2.0,1.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,10,8,617,6.9,0,0.0,0.0,0.0,0,0,0.0,0.15,0.15,0.0,0.15,0.9,2.4,0.23,0.13,0.35,0.23,0.35
2023,Crystal Palace,Premier League,Luka Milivojević,SRB,MF,31-201,1991.0,1.9,120.0,8.0,46.0,61.0,16.0,0.0,120.0,0.0,0.0,72.0,1.0,2.0,4.0,84.0,99.0,1441.0,454.0,35.0,37.0,42.0,47.0,4.0,9.0,0,0.0,0.0,7.0,1.0,0.0,5.0,0.0,0.0,0,2.0,0.0,1.03,0.0,0.0,0.0,0.0,0.1,0.1,-0.1,-0.1,5.0,2.0,3.0,1.0,1.0,3.0,3.0,0.0,7.0,1.0,6.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,265,2.9,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.01,0.09,0.08,0.09
2023,Real Madrid,La Liga,Luka Modrić,CRO,MF,37-046,1985.0,7.5,616.0,7.0,85.0,361.0,173.0,14.0,616.0,6.0,15.0,497.0,19.0,13.0,5.0,499.0,555.0,7592.0,2308.0,273.0,291.0,151.0,165.0,45.0,60.0,2,1.6,15.0,55.0,7.0,1.0,45.0,2.2,-0.2,2,12.0,3.0,1.6,0.4,0.0,0.0,0.0,1.4,1.4,0.6,0.6,8.0,3.0,4.0,4.0,0.0,4.0,9.0,5.0,5.0,2.0,3.0,3.0,11.0,2.0,0.0,29.0,3.87,24.0,3.0,0.0,0.0,1.0,1.0,4.0,0.53,2.0,1.0,0.0,0.0,1.0,0.0,11,9,764,8.5,2,2.0,0.0,0.0,2,0,0.24,0.24,0.47,0.24,0.47,2.4,4.1,0.19,0.29,0.48,0.19,0.48
2023,Augsburg,Bundesliga,Lukas Petkov,GER,"FW,MF",21-358,2000.0,0.5,23.0,1.0,5.0,13.0,5.0,3.0,23.0,1.0,1.0,9.0,0.0,1.0,1.0,10.0,14.0,204.0,78.0,4.0,5.0,3.0,4.0,3.0,4.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,4.39,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,106,1.2,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Almería,La Liga,Lázaro,BRA,"MF,FW",20-227,2002.0,1.8,82.0,1.0,4.0,40.0,39.0,3.0,82.0,3.0,7.0,56.0,7.0,1.0,2.0,54.0,65.0,696.0,223.0,36.0,38.0,10.0,15.0,4.0,6.0,0,0.1,4.0,10.0,1.0,1.0,2.0,0.1,-0.1,0,1.0,0.0,0.56,0.0,0.0,0.0,0.0,0.1,0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,2.24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,206,2.3,1,1.0,0.0,0.0,0,0,0.44,0.0,0.44,0.44,0.44,0.1,0.3,0.09,0.05,0.14,0.09,0.14
2023,Almería,La Liga,Léo Baptistão,BRA,"MF,FW",30-060,1992.0,4.3,163.0,2.0,38.0,78.0,53.0,14.0,163.0,2.0,8.0,99.0,11.0,7.0,5.0,72.0,114.0,1154.0,449.0,33.0,42.0,26.0,37.0,6.0,20.0,0,0.6,5.0,6.0,3.0,1.0,10.0,0.6,-0.6,1,10.0,3.0,2.31,0.69,0.0,0.0,0.0,0.6,0.6,0.4,0.4,10.0,6.0,4.0,5.0,1.0,6.0,9.0,3.0,2.0,0.0,2.0,5.0,15.0,4.0,0.0,11.0,2.54,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,450,5.0,1,1.0,0.0,0.0,2,0,0.2,0.2,0.4,0.2,0.4,0.8,1.9,0.23,0.15,0.38,0.23,0.38
2023,Montpellier,Ligue 1,Léo Leroy,FRA,MF,22-253,2000.0,1.7,98.0,3.0,31.0,55.0,15.0,4.0,98.0,1.0,4.0,57.0,7.0,3.0,2.0,49.0,72.0,722.0,271.0,33.0,41.0,14.0,20.0,2.0,7.0,0,0.1,2.0,9.0,2.0,0.0,7.0,0.3,-0.3,0,3.0,0.0,1.81,0.0,0.0,0.0,1.0,0.3,0.3,-0.3,-0.3,7.0,6.0,5.0,2.0,0.0,5.0,8.0,3.0,4.0,0.0,4.0,1.0,8.0,1.0,0.0,8.0,4.83,7.0,0.0,0.0,1.0,0.0,0.0,4.0,2.42,4.0,0.0,0.0,0.0,0.0,0.0,8,1,168,1.9,0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.16,0.14,0.3,0.16,0.3
